Metabolite_name	RefMet_name	KC_16	KC_18	KC_23	KC_28	KC_34	KC_38	KC_42	KC_47	SC_11	SC_14	SC_20	SC_21	SC_30	SC_32	SC_35	SC_41
Factors	-	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:KC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC	Sample source:mouse feces | Condition:SC
2-Aminobenzoic acid	2-Aminobenzoic acid																
2-Hydroxyadipic acid	2-Hydroxyadipic acid	0.0040	0.0040	0.0020	0.0030	0.0020	0.0020	0.0040	0.0020	0.0040	0.0020	0.0010	0.0020	0.0150	0.0040	0.0020	0.0140
2-Hydroxybutyric acid	2-Hydroxybutyric acid																
2-Ketobutyric acid	3-Methyl pyruvic acid																
2-Methylglutaric acid	2-Methylglutaric acid																
3_4-Dihydroxybenzeneacetic acid	3,4-Dihydroxybenzeneacetic acid																
3-Hydroxyanthranilic acid	3-Hydroxyanthranilic acid																
3-Hydroxyglutaric acid	3-Hydroxyglutaric acid	0.0370	0.0100	0.0270	0.0260	0.0190	0.0380	0.0160	0.0190	0.0130	0.0080	0.0140	0.0250	0.0420	0.0140	0.0110	0.0510
3-Indolebutyric acid	3-Indolebutyric acid																
3-Indoleglyoxylic acid	3-Indoleglyoxylic acid																
4-Hydroxy-2-oxoglutaric acid	4-Hydroxy-2-oxoglutaric acid	0.0010	0.0020		0.0020	0.0020	0.0020	0.0020	0.0020		0.0010	0.0010	0.0010	0.0010	0.0020	0.0010	0.0010
4-Hydroxy-L-glutamic acid	4-Hydroxy-L-glutamic acid																
4-Hydroxyproline	cis-4-Hydroxyproline	0.0190	0.0110	0.0200	0.0210	0.0430	0.0370	0.0330	0.0280	0.0170	0.0110	0.0140	0.0440	0.0350	0.0230	0.0170	0.0290
5-Hydroxyindoleacetic acid	5-Hydroxyindoleacetic acid																
5-Hydroxy-L-tryptophan	5-Hydroxy-tryptophan																
5-Methyl-DL-Tryptophan	5-Methyl-DL-tryptophan																
6-Phosphogluconic acid	6-Phosphogluconic acid																
Acetyl-CoA	Acetyl-CoA																
Acetylcysteine	N-Acetylcysteine																
Adenine	Adenine	0.0220	0.0070	0.0350	0.0110	0.0080	0.0140	0.0140	0.0080	0.0620	0.0840	0.0130	0.0800	0.0250	0.1660	0.1500	0.0230
Adenosine monophosphate	AMP	0.0020	0.0020	0.0890		0.0010	0.0020	0.0020	0.0020	0.0020	0.0020	0.0020	0.0010	0.0020	0.0090	0.0020	0.0020
Adenosine triphosphate	ATP																
ADP	ADP																
AICAR	AICAR																
Betaine	Betaine	0.9230	0.9060	0.9660	0.4110	1.2430	0.7320	1.0690	1.0200	1.0900	0.4100	0.9190	0.3450	0.1140	1.1570	0.4150	0.4720
Biotin	Biotin																
CDP	CDP																
Choline	Choline	0.2010	0.3120	0.1680	0.2220	0.2070	0.2170	0.2960	0.3100	0.5260	0.2380	0.3430	0.2110	0.2000	0.2680	0.4540	0.1500
cis-Aconitic acid	cis-Aconitic acid																
Citramalic acid	Citramalic acid	0.0150	0.0130	0.0060	0.0130	0.0210	0.0140	0.0220	0.0210	0.0070	0.0060	0.0060	0.0040	0.0050	0.0110	0.0070	0.0060
Citric acid	Citric acid	0.2340	0.1880	0.2230	0.1610	0.1810	0.3060	0.2350	0.1720	0.1640	0.1350	0.1960	0.1170	0.1530	0.1690	0.0920	0.2170
Creatine	Creatine	0.1610	0.1580	0.3820	0.0230	0.1040	0.2530	0.0850	0.0960	0.6250	0.3670	0.6420	0.1950	0.0600	0.0720	0.6370	0.0470
Creatinine	Creatinine	0.0480	0.0310	0.0450	0.0180	0.0240	0.0380	0.0230	0.0230	0.0800	0.0390	0.1000	0.0240	0.0260	0.0230	0.0470	0.0150
Cytidine monophosphate	CMP		0.0010	0.0040		0.0010		0.0010	0.0010	0.0010	0.0020	0.0020	0.0010	0.0010	0.0020	0.0010	0.0010
Cytidine triphosphate	CTP																
Cytosine	Cytosine	0.0050	0.0120	0.0160	0.0080	0.0130	0.0090	0.0130	0.0140	0.0050	0.0050	0.0070	0.0100	0.0040	0.0080	0.0080	0.0070
D-2-Hydroxyglutaric acid	D-2-Hydroxyglutaric acid																
Deoxyadenosine triphosphate	dATP																
D-Erythrose 4-phosphate	Erythrose 4-phosphate																
Desaminotyrosine	Desaminotyrosine																
D-Fructose	Fructose																
D-Galactose	Galactose																
